                   List of relations
   Schema   |           Name           | Type  | Owner 
------------+--------------------------+-------+-------
 pg_catalog | pg_aggregate             | table | bizra
 pg_catalog | pg_am                    | table | bizra
 pg_catalog | pg_amop                  | table | bizra
 pg_catalog | pg_amproc                | table | bizra
 pg_catalog | pg_attrdef               | table | bizra
 pg_catalog | pg_attribute             | table | bizra
 pg_catalog | pg_auth_members          | table | bizra
 pg_catalog | pg_authid                | table | bizra
 pg_catalog | pg_cast                  | table | bizra
 pg_catalog | pg_class                 | table | bizra
 pg_catalog | pg_collation             | table | bizra
 pg_catalog | pg_constraint            | table | bizra
 pg_catalog | pg_conversion            | table | bizra
 pg_catalog | pg_database              | table | bizra
 pg_catalog | pg_db_role_setting       | table | bizra
 pg_catalog | pg_default_acl           | table | bizra
 pg_catalog | pg_depend                | table | bizra
 pg_catalog | pg_description           | table | bizra
 pg_catalog | pg_enum                  | table | bizra
 pg_catalog | pg_event_trigger         | table | bizra
 pg_catalog | pg_extension             | table | bizra
 pg_catalog | pg_foreign_data_wrapper  | table | bizra
 pg_catalog | pg_foreign_server        | table | bizra
 pg_catalog | pg_foreign_table         | table | bizra
 pg_catalog | pg_index                 | table | bizra
 pg_catalog | pg_inherits              | table | bizra
 pg_catalog | pg_init_privs            | table | bizra
 pg_catalog | pg_language              | table | bizra
 pg_catalog | pg_largeobject           | table | bizra
 pg_catalog | pg_largeobject_metadata  | table | bizra
 pg_catalog | pg_namespace             | table | bizra
 pg_catalog | pg_opclass               | table | bizra
 pg_catalog | pg_operator              | table | bizra
 pg_catalog | pg_opfamily              | table | bizra
 pg_catalog | pg_parameter_acl         | table | bizra
 pg_catalog | pg_partitioned_table     | table | bizra
 pg_catalog | pg_policy                | table | bizra
 pg_catalog | pg_proc                  | table | bizra
 pg_catalog | pg_publication           | table | bizra
 pg_catalog | pg_publication_namespace | table | bizra
 pg_catalog | pg_publication_rel       | table | bizra
 pg_catalog | pg_range                 | table | bizra
 pg_catalog | pg_replication_origin    | table | bizra
 pg_catalog | pg_rewrite               | table | bizra
 pg_catalog | pg_seclabel              | table | bizra
 pg_catalog | pg_sequence              | table | bizra
 pg_catalog | pg_shdepend              | table | bizra
 pg_catalog | pg_shdescription         | table | bizra
 pg_catalog | pg_shseclabel            | table | bizra
 pg_catalog | pg_statistic             | table | bizra
 pg_catalog | pg_statistic_ext         | table | bizra
 pg_catalog | pg_statistic_ext_data    | table | bizra
 pg_catalog | pg_subscription          | table | bizra
 pg_catalog | pg_subscription_rel      | table | bizra
 pg_catalog | pg_tablespace            | table | bizra
 pg_catalog | pg_transform             | table | bizra
 pg_catalog | pg_trigger               | table | bizra
 pg_catalog | pg_ts_config             | table | bizra
 pg_catalog | pg_ts_config_map         | table | bizra
 pg_catalog | pg_ts_dict               | table | bizra
 pg_catalog | pg_ts_parser             | table | bizra
 pg_catalog | pg_ts_template           | table | bizra
 pg_catalog | pg_type                  | table | bizra
 pg_catalog | pg_user_mapping          | table | bizra
(64 rows)

